,2017-12-28 00:00:00,2018-01-01 00:00:00,2018-01-02 00:00:00,2018-01-03 00:00:00,2018-01-04 00:00:00,2018-01-07 00:00:00,2018-01-08 00:00:00,2018-01-09 00:00:00,2018-01-10 00:00:00,2018-01-11 00:00:00,2018-01-14 00:00:00,2018-01-15 00:00:00,2018-01-16 00:00:00,2018-01-17 00:00:00,2018-01-18 00:00:00,2018-01-21 00:00:00,2018-01-22 00:00:00,2018-01-23 00:00:00,2018-01-24 00:00:00,2018-01-25 00:00:00,2018-01-28 00:00:00,2018-01-29 00:00:00,2018-01-30 00:00:00,2018-01-31 00:00:00,2018-02-01 00:00:00,2018-02-04 00:00:00,2018-02-05 00:00:00,2018-02-06 00:00:00,2018-02-07 00:00:00,2018-02-08 00:00:00,2018-02-11 00:00:00,2018-02-12 00:00:00,2018-02-13 00:00:00,2018-02-14 00:00:00,2018-02-15 00:00:00,2018-02-18 00:00:00,2018-02-19 00:00:00,2018-02-20 00:00:00,2018-02-22 00:00:00,2018-02-25 00:00:00,2018-02-26 00:00:00,2018-02-27 00:00:00,2018-02-28 00:00:00,2018-03-01 00:00:00,2018-03-04 00:00:00,2018-03-05 00:00:00,2018-03-06 00:00:00
Bank Market Cap,762692472335.0375,758801896323.0667,755996301141.8192,762089139121.731,757065641300.2075,747935356715.1312,735470401570.889,732971500810.8844,727196788911.2404,727933200374.5463,716358839228.7206,703310864895.3285,716377488299.9825,706379732510.3384,707320029912.62,707592040955.2998,710084322966.2416,707957717653.5059,706890375814.6993,715446941119.9735,706431042369.0571,708122649724.5244,701857710238.3956,690119352099.3419,686452162464.5505,664190992217.6057,657525251278.3402,676239590909.7302,674572775808.494,681340922064.6276,702379979270.3652,703658745931.6514,705295292842.6526,703612238769.5835,693802409467.2407,674583683720.5612,675192573489.2213,672650001153.3234,675222835668.1405,660850873624.0354,652718432222.249,654376394656.4729,651222189615.904,662001091748.3055,660997365706.4094,650282028328.0317,649836437483.8495
Cash Dividend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divisor,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0
Adjusments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank,2695026404.010733,2681278785.593875,2671365021.7025414,2692894484.5290847,2675143608.834656,2642881119.1347394,2598835341.2398906,2590005303.2186728,2569599960.817104,2572202121.464828,2531303318.8294015,2485197402.456991,2531369216.6077123,2496041457.6337047,2499364063.295477,2500325233.0575967,2509131883.2729383,2501617376.8675117,2497845850.9353333,2528081064.028175,2496222764.554972,2502200175.7050333,2480062580.3476877,2438584283.036544,2425626015.775797,2346964636.8113275,2323410781.902262,2389539190.4937463,2383649384.4823112,2407565095.6347265,2481908053.9588876,2486426664.0694394,2492209515.3450623,2486262327.8077154,2451598620.0255857,2383687928.3412056,2385839482.2940683,2376855127.7502594,2385946415.788482,2335162097.6114326,2306425555.55565,2312284080.058208,2301138479.2081413,2339226472.6088533,2335679737.4784784,2297816354.516013,2296241828.5648394
NBFI Market Cap,251796174320.92557,252595866095.38904,256287193232.25143,257962918895.7119,257671122920.78082,256222073154.74026,253915296264.05502,251879408592.9489,250949493058.34982,249751465006.37485,247063450170.4934,242788300564.27963,246410158141.8489,243408099100.3851,242916557516.7748,242843761679.40945,245258935927.42197,247955426309.54233,251001924778.9496,248557048972.6454,244207762497.51334,244372318345.62143,242375375440.37326,236738689098.01495,236692835778.782,227571533947.46362,228616883855.649,231370288926.46393,231470354077.77118,232478028575.27313,236612011800.32104,234781774465.88806,234455298348.05692,234613549536.9815,231417495786.81216,226191903417.79205,225790436737.61194,224048855689.21603,223540010799.4341,220037155033.14587,216685598565.7611,217526206291.05035,217826853742.8586,221125505117.1473,222502956372.30164,219607725835.97134,219361813323.68936
Cash Dividend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divisor,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Adjusments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBFI,3497169087.7906327,3508275917.991514,3559544350.4479365,3582818317.995999,3578765596.121956,3558639904.926948,3526601337.0007644,3498325119.346513,3485409625.8104143,3468770347.310762,3431436807.9235196,3372059730.059439,3422363307.525679,3380668043.060904,3373841076.6218724,3372830023.3251314,3406374110.1030827,3443825365.4103103,3486137844.1520777,3452181235.731186,3391774479.1321297,3394059977.02252,3366324658.894073,3288037348.583541,3287400496.927528,3160715749.270328,3175234497.995125,3213476235.089777,3214866028.857933,3228861507.9899044,3286277941.6711254,3260857978.6928897,3256323588.167457,3258521521.3469653,3214131885.9279466,3141554214.1360006,3135978288.022388,3111789662.3502226,3104722372.2143626,3056071597.6825814,3009522202.3022375,3021197309.5979214,3025372968.650814,3071187571.0714903,3090318838.5041895,3050107303.27738,3046691851.717908
